"NETFLIXID","COUNTRY","DOWNLOAD","IMAGE","IMDBID","LARGEIMAGE","RATING","RELEASED","RUNTIME","SYNOPSIS","TITLE","TYPE","UNOGSDATE"
"81035835","18","0","https://occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABXAqvq64xnypwAJnXR5bL5zxAZp_ZdtndGutNj3-ePXP4jIM0bEJqQ8H7JaYbPnZyMCX4SofjNz4ccH6v6EgIizFmQ.jpg?r=5e8","tt6034164","","4.6","2017","1h39m","A man begins to regret his choices when his brother decides to join him as a member of the same terrorist organization.","Detention Letter","movie","2019-08-05"
"81082125","18","0","https://occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABVsPUta4W7m4bCuv6tTXzD_gajOsGatcyiBcotuXGtelwIIwZHqzRLqtPVOXPt1LFvFL6v-_YCPpi5AJogQi9mGZJ2ml-SP9EJdixCHwg_nvr6aFk2KiBNhTqZs.jpg?r=14f","","","","2019","1h3m","Years spent recording footage of creatures from every corner of the globe is bound to produce a bit of drama. Here&#39;s a behind-the-scenes look.","Our Planet - Behind The Scenes","movie","2019-08-05"
"81143771","18","0","https://occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABemuS6fU4ONODAZqILYW5BlIMbbWT8CQuwxAHX_CPJJl6H3CrFzGMGkkNP6nJgVJvGlR0IoQGFHxyAx1coyQomzaJsIvcb0vohrv2F_mGlDQzgLcQe8jumlxIkU.jpg?r=75e","","","","2019","58m","What is anime? Through deep-dives with notable masterminds of this electrifying genre, this fast-paced peek behind the curtain seeks to find the answers.","Enter the Anime","movie","2019-08-06"
"81047680","18","0","https://occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABcILVUszXQDmk9ijDgeYFRnyiAK6MhUokRannMLF4SmDyujR8p2HhCdJjEDrgWsAh-FKTJvIXUwws7w47ZOYvuHIpw.jpg?r=1d3","tt8819596","","7.2","2018","1h44m","A steroid peddler explains how he went from an unlicensed anti-aging expert to the point man for the biggest scandal in baseball history.","Screwball","movie","2019-08-06"
"80050006","18","1","http://occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABYnp2lNwrebq9Vllm3qvSLY6F3Y8pGJ-GMnHuTL8R3p_VxYB8gUk55UKR2QFMxhprZv-4QdZJ2Q102LMKsUVhZyRO88EuZPSnne6YGQR5edltLyl8-sVukYN_Yw.jpg?r=ee4","tt0120915","http://cdn1.nflximg.net/images/9495/23919495.jpg","6.5","2015","1h7m","In a witty solo show, Brent Morin serves up infectious laughs on the agony of puberty, hot guy problems and the time a girl dumped him for a magician.","I&#39;m Brent Morin","movie","2019-08-06"
"80002621","18","1","http://occ-0-2773-2774.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABT7fJ4GQNZ5RiHXMBBJEFwf-mIky6iwsMjlqI5c_V_sEIboMB6j5AEdt2ue8SyxAqiHthidCAXHtOLvnesZ0iKuVgI-_wfC7nIpxWugpZy5i0LDwRW9aB4Nlh94.jpg?r=38c","tt3958494","https://occ-0-1091-299.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABZK05b5y8MLpGtKxAuJpD83LHVx7cC-aauqUBRJk0jgwiVDDxu4DCqZe0KxC2vVxi_IMO7q7fFQzUNvFXrfyp6qLQkE5lKRLXpnY7zt6Y6265c7O-j2Fm1jlhT5jbQ.jpg?r=38c","8.1","2014","1h16m","Nothing is sacred in this show from Australian comic Jim Jefferies, whether it&rsquo;s the mother of his child, auditioning disabled actors, or gun control.","Jim Jefferies : BARE","movie","2019-08-06"
"81112446","18","0","https://occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABXBN1xO5idE9dQJvPFSlx8IeRDluapO0eukIIMZ2rph1KoUPrkeDq0PVc8DxDFlcQjHtoY0OePVKCI6MYLRtpl9LYQ.jpg?r=946","tt8130968","","7.9","2019","1h57m","When a woman is accused of killing her lover, a renowned lawyer is hired -- but the more they try to  untangle the truth, the more convoluted it becomes.","Badla","movie","2019-08-07"
"81044970","18","0","https://occ-0-768-769.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABRTTDvn3IEOGtSG7U_0YVOv4J7ic6R-kngBAT9mqIeyDoC2KVuhSroDIXwgTnQ_H_CtEDEt49z_jC9U3vyPi3dmz7w.jpg?r=463","","","","2018","1h26m","An insecure veterinarian falls for the owner of a sick dog, but when he returns her feelings she refuses to believe they&rsquo;re real.","Zwaar Verliefd!","movie","2019-08-07"
"80040119","18","1","https://occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABd65NJUV7IGNv8xQFIxZYiJ6qQn95ws5y99UUmSAhdK7PEdxcGd9rYzsTBRFA4yEOm7K3T5qy1y_MhhJmFXbXjdLxQ.jpg?r=aeb","tt1584000","https://occ-0-2774-2773.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABQnaU5ATtJDT9AyzB9bu_y-R9KRWuQImRl8BIanGrpFRJU5zsI0X4vnPXED7zXsuXE7x-BezvK2PfklHDJPp-cAJhH94.jpg?r=cc8","7.9","2010","","A young man looking for excitement moves to Ikebukuro, a district in Tokyo, where he finds a world of mystery in which the past and present mesh.","Durarara!!","series","2019-08-07"
"81041273","18","0","http://occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABTUL55he6O3it6aUTDm_lz4AcIFrR-o8aiwJ_CSmlhtrVvgcZUkDt5ZTapzy6jWuJ-wLJYVKaU3-mGlPriG0Dt4RLwlnzZlHQ1DIFH-4-7_a7uRNEvQnNe7MxvU.jpg?r=5ef","tt9861498","","6.7","2019","1h5m","Italian comedian Edoardo Ferrario riffs on life at 30 and unpacks the peculiarities of global travel, social media and people who like craft beer.","Edoardo Ferrario: Temi Caldi","movie","2019-08-07"
